"Id","DiffId","ProjId","Language","ProjName","CommitSha","FileName","FileLengthBefore","FileLengthAfter","nDeletes","nInserts","nEdits","EditScript","RunTime1","RunTime2","RunTime3","RunTime4","RunTime5","RunTime6","RunTime7","RunTime8","RunTime9","RunTime10","RunTime"
"4614","72","21","XML","arthas","ae67e7ed2cf0307b2b6e3d187a07f36e5228d1b8","pom.xml","248","285","0","37","37","['@@ -197,0 +198,37 @@']","0.0721314","0.0486114","0.050255","0.0679497","0.0525924","0.0524176","0.0556593","0.0543757","0.0550845","0.0472702","0.053484"
"4615","73","21","XML","arthas","aee4cde690a34e9e20a6df6749fb77853f1e46fe","assembly.xml","45","49","0","4","4","['@@ -30,0 +31,4 @@']","0.0610391","0.0533685","0.0470909","0.0482136","0.047218","0.0473463","0.0482743","0.047322","0.0505197","0.048365","0.048244"
"4616","74","21","XML","arthas","aee4cde690a34e9e20a6df6749fb77853f1e46fe","pom.xml","246","247","1","2","3","['@@ -63,0 +64 @@', '@@ -95 +96 @@']","0.0686489","0.0496548","0.0525704","0.0578473","0.0578022","0.0532678","0.0524165","0.0535702","0.0546105","0.0493093","0.053419"
"4617","75","21","XML","arthas","b8825ddfa6cbc5d609e0d34b2731def1526af4c1","assembly-doc.xml","18","19","0","1","1","['@@ -15,0 +16 @@']","0.0828203","0.0466355","0.0480001","0.0496937","0.0503803","0.0494777","0.0498227","0.0555774","0.0504231","0.0466971","0.0497582"
"4618","76","21","XML","arthas","b8825ddfa6cbc5d609e0d34b2731def1526af4c1","pom.xml","54","55","2","3","5","['@@ -26 +26,2 @@', '@@ -38 +38,0 @@', '@@ -39,0 +40 @@']","0.0764302","0.0520564","0.0598556","0.0558764","0.0612189","0.0536095","0.0551264","0.0465639","0.0485431","0.0477032","0.0543679"
"4619","77","21","XML","arthas","bb56e26b10a8656c9caf38620eba36823188a59b","pom.xml","277","277","1","1","2","['@@ -110 +110 @@']","0.0721837","0.0506803","0.0604856","0.050766","0.0636182","0.0472206","0.0549849","0.0485578","0.0485021","0.0489489","0.0507232"
"4620","78","21","XML","arthas","bde058572f277a0d2389e3f103687c1d8eda2bf7","pom.xml","141","146","0","5","5","['@@ -69,0 +70,5 @@']","0.073293","0.046351","0.0512174","0.0590932","0.0537202","0.0555639","0.0512116","0.0517812","0.0480026","0.0475625","0.0514993"
"4621","79","21","XML","arthas","c2f7f3e8117a13f2cae653d49128a8074f5a362e","pom.xml","67","71","0","4","4","['@@ -57,0 +58,4 @@']","0.0681111","0.0513888","0.0466198","0.0497053","0.0513323","0.0476724","0.0502447","0.0469357","0.0500534","0.0472476","0.0498793"
"4622","80","21","XML","arthas","c65a648764879fcff3eac75bbb93063c01a1992d","pom.xml","72","72","1","1","2","['@@ -7 +7 @@']","0.0690773","0.049934","0.0591506","0.06237","0.0475922","0.0531319","0.0469571","0.0504598","0.049494","0.047318","0.0501969"
"4623","81","21","XML","arthas","c925b31ff9ae3352d7be6a14ef2619945c766c59","pom.xml","71","76","0","5","5","['@@ -23,0 +24,5 @@']","0.0589953","0.047018","0.0491268","0.0514491","0.0544034","0.047351","0.0573326","0.05088","0.0503072","0.0473332","0.0505936"
"4624","82","21","XML","arthas","c93340bec9720293d4738d667d6d18d589e25467","assembly.xml","52","53","0","1","1","['@@ -6,0 +7 @@']","0.0598607","0.0499594","0.0620327","0.0571938","0.0464234","0.052492","0.0479163","0.0474409","0.0468985","0.0477269","0.0489378"
"4625",,"21","XML","arthas","c93340bec9720293d4738d667d6d18d589e25467","pom.xml","67","145","0","78","78","['@@ -38,0 +39,78 @@']","0.0611136",,,,,,,,,,
"4626","84","21","XML","arthas","cf4968b4e34e0b95fdf5ed8e9d0e3901cdd50332","pom.xml","84","104","1","21","22","['@@ -40,0 +41,13 @@', '@@ -67 +79,0 @@', '@@ -79,0 +92,8 @@']","0.0613056","0.0495263","0.0478823","0.0500295","0.0514279","0.0481617","0.0480094","0.0466206","0.0613051","0.0522742","0.0497779"
"4627","85","21","XML","arthas","d5dca83bc50b292a9d57967370e1b2ed7230c796","pom.xml","246","246","1","1","2","['@@ -135 +135 @@']","0.0678366","0.0483773","0.0544767","0.0561238","0.0495432","0.0521337","0.0497812","0.0487746","0.0573812","0.0478197","0.0509574"
